,,clean,smell,noise,town,district,longitude,latitude,transformed_longitude,transformed_latitude
125,和合居委会,2,0.0,0.0,康桥镇,浦东新区,121.573498388439,31.1529914049294,-2860505.8318285802,4654508.454139643
126,和泰苑居委会,2,0.0,1.0,大场镇,宝山区,121.405924249204,31.3294025910568,-2841594.3111520875,4654196.592120155
127,嘉中社区居委会,3,0.0,1.0,嘉定镇街道,嘉定区,121.246424070414,31.3935261711959,-2826707.6009376235,4658925.553603109
128,嘉萱苑居委会,3,0.0,0.0,漕河泾街道,徐汇区,121.432803014747,31.1680942416559,-2848615.771622636,4660779.371186451
129,四团居委会,2,0.0,1.0,四团镇,奉贤区,121.717035308632,30.9443243779677,-2878430.3435610826,4657477.943814421
131,团结花苑居委会,3,0.0,0.0,莘庄镇,闵行区,121.366252603275,31.1056530601406,-2845063.533204328,4667141.564319981
132,国定一居委会,2,0.0,0.0,五角场街道,杨浦区,121.503809114598,31.3082623994902,-2850178.116065673,4650373.972719144
133,国年居委会,2,0.0,0.0,五角场街道,杨浦区,121.505381748269,31.2932536840103,-2850757.5486395024,4651032.842237032
134,地方天园居委会,2,0.0,1.0,长寿路街道,普陀区,121.419246582963,31.2407351920755,-2845337.729391058,4657892.3734454345
135,场西居委会,3,0.0,1.0,新桥镇,松江区,121.329969813256,31.0874496262992,-2842649.4792340165,4669832.665573883
136,城西居委会,3,0.0,0.0,杨行镇,宝山区,121.438999205149,31.4075400548297,-2841928.321128035,4648707.778813588
137,城西居委会,3,0.0,0.0,川沙新镇,浦东新区,121.686948228777,31.2025967994028,-2868220.8831519233,4646412.500777135
138,城西居委会,3,0.0,0.0,城桥镇,崇明区,121.381668039848,31.6290707765951,-2830588.6458479576,4640586.717646162
139,培花新村四居委会,2,0.0,0.0,花木街道,浦东新区,121.559701215338,31.1954442744337,-2858109.7011261308,4653121.045582315
140,塘园居委会,2,0.0,0.0,朱泾镇,金山区,121.157496309607,30.8858611703568,-2834532.7808515215,4688215.288256438
141,塘桥居委会,2,,0.0,塘桥街道,浦东新区,121.516658107285,31.2133655747614,-2854075.1276274044,4654389.280988473
142,塘桥居委会,2,,0.0,洞泾镇,松江区,121.225290032908,31.0853075536007,-2834176.4928707723,4675123.269867649
143,墨玉社区居委会,2,0.0,0.0,安亭镇,嘉定区,121.165329941523,31.3259569879247,-2822128.379508977,4666257.804262165
144,复兴居委会,2,0.0,0.0,淮海中路街道,黄浦区,121.470434313892,31.217398517028,-2850198.256591645,4656492.662457054
145,复兴居委会,2,0.0,0.0,亭林镇,金山区,121.311641166806,30.8857280554054,-2847139.315679241,4680578.959867664
146,复兴岛居委会,3,0.0,0.0,定海路街道,杨浦区,121.558199209925,31.2867773439992,-2855239.021574447,4648720.713009217
147,大华一村四居委会,3,,1.0,大场镇,宝山区,121.417459256839,31.2812108067333,-2843978.4782686858,4655993.726581376
148,大华三村五居委会,2,0.0,1.0,大场镇,宝山区,121.410092864993,31.2856583886238,-2843246.3931776313,4656140.791273004
149,大华四村第五居委会,3,0.0,1.0,大场镇,宝山区,121.404209448007,31.283645623147,-2842828.647857766,4656531.636422283
150,大华四村第六居委会,3,0.0,0.0,大场镇,宝山区,121.401011060412,31.280088548148,-2842675.403031433,4656865.115687109
151,大唐花园居委会,2,0.0,1.0,顾村镇,宝山区,121.397349205401,31.3438717591744,-2840463.0601325654,4653909.6603987
152,大桥居委会,2,0.0,0.0,华泾镇,徐汇区,121.45443479463,31.1250648698479,-2851662.8556468766,4661808.532271439
153,大统居委会,2,0.0,0.0,芷江西路街道,静安区,121.45568187282,31.2569754382658,-2847811.741204733,4655285.224210203
154,大连新村第三居委会,3,,0.0,欧阳路街道,虹口区,121.488125425547,31.277360551848,-2849834.58913891,4652671.554367188
155,大连新村第二居委会,3,0.0,0.0,欧阳路街道,虹口区,121.487996798213,31.2751162801922,-2849891.6197802224,4652788.114377389
156,大连西路四弄居委会,3,0.0,0.0,四平路街道,杨浦区,121.496218375177,31.280042761864,-2850411.0767869186,4652137.316113699
